"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80"
"Chrm3",0.0343316340208784,0,0.0649825481774948,0.0433216987849966,0.0216608493924983,0,0.0216608493924983,0.0216608493924983,0.0433216987849966,0.0216608493924983,0.0216608493924983,0.0216608493924983,0,0.0433216987849966,0.0433216987849966,0,0.0216608493924983,0.0433216987849966,0.0433216987849966,0.0433216987849966,0.0993141821983733,0.0216608493924983,0.0343316340208784,0,0,0.0433216987849966,0.15530666561175,0,0.0216608493924983,0.0216608493924983,0,0.0343316340208784,0,0,0,0.0433216987849966,0.0216608493924983,0,0,0,0,0,0.0447191729393513,0,0.0354391060860681,0.0223595864696756,0,0,0,0.0223595864696756,0,0,0,0.0223595864696756,0,0.0354391060860681,0.0801582790254193,0,0.0447191729393513,0.0223595864696756,0.0223595864696756,0,0.0447191729393513,0.0223595864696756,0.0577986925557437,0.0223595864696756,0,0.0223595864696756,0.0447191729393513,0.0223595864696756,0.0223595864696756,0.0223595864696756,0,0.0447191729393513,0,0,0,0,0.0670787594090269,0.0447191729393513
"Cdk6",0.60855587781862,0.58233396865665,0.678494833189135,0.53051434126279,0.553699883285583,0.609443361397423,0.519507447713123,0.490873362342055,0.534195061127052,0.706497583956529,0.631492414539876,0.863572073052292,0.753603935011087,0.824672235588348,0.651877576603616,0.601977989263599,0.712334331054759,0.806443100758575,0.708265407440542,0.629828523461163,0.615529113797188,0.799066887030452,0.810476758329673,0.815293967074275,0.822406401501262,0.803898869774653,0.739796661502368,0.776928675482298,0.86760573062339,1.10591033998399,1.01686190987849,0.749819282741526,0.69849179150292,0.814413627169066,0.912730518935517,0.926537792444237,0.966566975114927,0.999647927074552,0.988065761652494,1.02127929123898,0.913932511889763,0.837029270454939,0.865270197466355,0.841229449669614,0.88573170329013,0.914045860899434,0.980867582577842,1.09519190692851,0.843819348963347,1.08854185778074,1.07831293454901,1.05291894456194,1.066907202145,0.8678965004175,1.1019455817795,1.06939719048988,0.91926943725899,1.08864542808991,1.01331606291861,1.11999770397097,0.943346588713143,1.03906700158515,0.957334846296203,1.21012415374313,0.865670923917921,1.09843957040443,1.10250343501283,1.03694871014911,1.34870985996375,1.45035539114959,1.23154466253486,1.33841377008026,1.25795467555213,1.28923000608094,1.3183870451737,1.17231578243654,1.18645510285522,1.22423313445054,1.16252770406815,0.928693192833221
"Il1rapl2",0.111984966826753,0.0993141821983733,0.12996509635499,0.232959998417625,0.124655751455134,0.077653332805875,0.0866433975699931,0.189638299632628,0.133645816219252,0.185957579768366,0.0343316340208784,0.165572417704626,0.0649825481774948,0.127948267569441,0.176967515004248,0.229279278553363,0.0866433975699931,0.0216608493924983,0.16797745024013,0.18064823486851,0.0559924834133767,0.0649825481774948,0.0502949347635656,0.164296730375868,0.140619052197821,0.133645816219252,0,0.0993141821983733,0.0216608493924983,0.0993141821983733,0.0866433975699931,0.0433216987849966,0.0649825481774948,0.0993141821983733,0.0936166335485622,0.0903241174342552,0.0903241174342552,0.102517865495095,0.0670787594090269,0.0894383458787026,0.0354391060860681,0.0577986925557437,0.0223595864696756,0.0223595864696756,0.0801582790254193,0.12056998768656,0.0670787594090269,0.0670787594090269,0.0354391060860681,0,0.0670787594090269,0.0223595864696756,0.0223595864696756,0.0223595864696756,0.102517865495095,0.0894383458787026,0,0.0577986925557437,0.0670787594090269,0.0670787594090269,0.111797932348378,0.0966365249533545,0.0447191729393513,0.0223595864696756,0.0447191729393513,0.102517865495095,0.0447191729393513,0.0670787594090269,0.0223595864696756,0,0,0.0354391060860681,0.0223595864696756,0.0447191729393513,0,0.0447191729393513,0.102517865495095,0.0670787594090269,0.111797932348378,0.0670787594090269
"Gda",0.14263588098337,0.120975031590872,0.0433216987849966,0.216608493924983,0.185957579768366,0.0993141821983733,0.0866433975699931,0.220289213789245,0.0649825481774948,0.108304246962491,0.0993141821983733,0.0433216987849966,0.0216608493924983,0.211299149025127,0.0993141821983733,0.077653332805875,0.14263588098337,0.0936166335485622,0.120975031590872,0.108304246962491,0.0903241174342552,0.106287418176942,0.120975031590872,0.0993141821983733,0.0216608493924983,0.108304246962491,0.15530666561175,0.164296730375868,0.0866433975699931,0.0216608493924983,0.0433216987849966,0.0216608493924983,0.12996509635499,0.0649825481774948,0.108304246962491,0.0649825481774948,0.077653332805875,0.0708782121721361,0.0577986925557437,0.0223595864696756,0.173396077667231,0.0894383458787026,0.0670787594090269,0.0670787594090269,0.0966365249533545,0.0670787594090269,0.0223595864696756,0.0670787594090269,0.0894383458787026,0.0670787594090269,0.0223595864696756,0.0577986925557437,0.0873564581000713,0.0223595864696756,0.0670787594090269,0.0801582790254193,0.0801582790254193,0.0447191729393513,0.147237038434446,0.0447191729393513,0.0223595864696756,0.0223595864696756,0.0223595864696756,0.0447191729393513,0.124877451964771,0.0354391060860681,0.0447191729393513,0.0223595864696756,0,0,0.0223595864696756,0.0447191729393513,0.0670787594090269,0.0447191729393513,0.0447191729393513,0.0801582790254193,0,0.0447191729393513,0.147237038434446,0.0223595864696756
"Trpc6",0.332274180615998,0.413608233286135,0.359244374908353,0.250940127945861,0.393576008929231,0.441854114907248,0.27058414855281,0.4005492449078,0.3106133312235,0.315922676123356,0.220289213789245,0.28527176196674,0.319603395987618,0.151625945747488,0.263610912574241,0.263610912574241,0.512534211734554,0.220289213789245,0.211299149025127,0.192930815746935,0.185957579768366,0.173286795139986,0.279574213316929,0.207618429160865,0.263610912574241,0.198628364396747,0.319603395987618,0.456541728321177,0.14263588098337,0.11527748294106,0.28527176196674,0.108304246962491,0.12996509635499,0.362925094772615,0.263610912574241,0.220289213789245,0.171269966354437,0.0670787594090269,0.240474837076258,0.0894383458787026,0.160316558050839,0.218115250606582,0.176794803978774,0.214315797843473,0.268315037636108,0.272114490399217,0.0670787594090269,0.137956971581163,0.0894383458787026,0.227395317459866,0.11899611142303,0.137956971581163,0.187648747095587,0.201236278227081,0.134157518818054,0.160316558050839,0.218115250606582,0.124877451964771,0.182676144520514,0.218115250606582,0.134157518818054,0.165289160625911,0.134157518818054,0.137956971581163,0.169596624904122,0.0894383458787026,0.134157518818054,0.137956971581163,0.102517865495095,0.0447191729393513,0.111797932348378,0.0894383458787026,0.0577986925557437,0.20503573099019,0.0223595864696756,0.124877451964771,0.102517865495095,0.191956211373798,0.20503573099019,0.102517865495095
"Cd34",0.60855587781862,0.413608233286135,0.505560975755984,0.54318512589117,0.409927513421873,0.472893232813819,0.42589081416456,0.532566436091458,0.597548984268953,0.436544770007392,0.698879995252875,0.577516759912048,0.621226662447,0.618821629911496,0.622502349775758,0.599177609304547,0.552563394405243,0.449568492342608,0.534583264877007,0.658850812582185,0.624519178561307,0.487580846227748,0.546865845755432,0.622502349775758,0.434880878928679,0.646180027953805,0.458558557106726,0.62618306964002,0.481883297577937,0.617545942582738,0.56852669514793,0.612236597682882,0.553839081734001,0.578792447240806,0.615529113797189,0.662143328696493,0.563217350248074,0.683502790912508,0.58726699241072,0.602027673354177,0.689384131454249,0.518069941565649,0.721023784777208,0.577586199105871,0.461988813994383,0.676197326774322,0.599945785575546,0.573786746342762,0.61510719297057,0.393192489600878,0.558625338947738,0.561107953177935,0.596547059264003,0.596146332812437,0.721424511228774,0.644664958514898,0.676304611837856,0.689384131454249,0.448909294377991,0.769542410479668,0.545946545782912,0.605827126117287,0.458189361231274,0.435829774761598,0.381830534968964,0.436230501213165,0.605827126117287,0.400791395127097,0.53064144966694,0.602027673354178,0.66742527143614,0.497427920080451,0.791794711885809,0.556543451169106,0.635384891661614,0.637466779440246,0.644664958514897,0.652263864041116,0.892337974665807,0.784303091423126
"Plcl1",0.176967515004248,0.133645816219252,0.0993141821983733,0.164296730375868,0.0866433975699931,0.0433216987849966,0.15530666561175,0.120975031590872,0.236252514531932,0.202309084261009,0.077653332805875,0.194947644532485,0.077653332805875,0.0903241174342552,0.198628364396747,0.304915782573689,0.164296730375868,0.145137215598168,0.0559924834133767,0.198628364396746,0.0866433975699931,0.189638299632628,0.151625945747488,0.127948267569441,0.14263588098337,0.241069723276534,0.198628364396747,0.0649825481774948,0.108304246962491,0.0433216987849966,0.0216608493924983,0.077653332805875,0,0.164296730375868,0.0559924834133767,0.149609116961939,0.0846265687844441,0.111797932348378,0.0447191729393513,0.0801582790254193,0.0670787594090269,0,0.0447191729393513,0.0894383458787026,0.0932377986418118,0.169596624904122,0.0223595864696756,0.0223595864696756,0.0223595864696756,0.0447191729393513,0.102517865495095,0.0223595864696756,0.137956971581163,0.169596624904122,0.111797932348378,0.0447191729393513,0.0447191729393513,0.0447191729393513,0.0894383458787026,0.102517865495095,0.137956971581163,0.102517865495095,0.182676144520514,0.0894383458787026,0.137956971581163,0.178876691757405,0.0447191729393513,0.102517865495095,0.178876691757405,0.111797932348378,0.0447191729393513,0.0223595864696756,0.0447191729393513,0.0447191729393513,0.0447191729393513,0.0447191729393513,0.0577986925557437,0.0223595864696756,0.178876691757405,0.111797932348378
"Rora",0.164296730375868,0.264886599902999,0.220289213789245,0.25791336392443,0.207618429160865,0.207618429160865,0.12996509635499,0.313905847337807,0.241950063181743,0.29794254659512,0.207618429160865,0.164296730375868,0.120975031590872,0.133645816219252,0.232959998417625,0.288564278081047,0.183940750982817,0.241950063181743,0.133645816219252,0.0559924834133767,0.146316600847632,0.185957579768366,0.108304246962491,0.133645816219252,0.205601600375316,0.173286795139986,0.077653332805875,0.14263588098337,0.0866433975699931,0.0866433975699931,0.12996509635499,0.0649825481774948,0.0649825481774948,0.288952481831002,0.14263588098337,0.15530666561175,0.077653332805875,0.0447191729393513,0.0447191729393513,0.156517105287729,0.165289160625911,0.147237038434446,0.0223595864696756,0.0801582790254193,0.0670787594090269,0.178876691757405,0.0447191729393513,0.186074870832057,0.0894383458787026,0.102517865495095,0.0577986925557437,0.115597385111487,0.156517105287729,0,0.169596624904122,0.0670787594090269,0.0894383458787026,0.0447191729393513,0.156517105287729,0.0894383458787026,0.0894383458787026,0.0742769384836789,0.147237038434446,0.0447191729393513,0.151036491197555,0.0801582790254193,0.0894383458787026,0.0801582790254193,0.0447191729393513,0.0447191729393513,0.0447191729393513,0,0,0.0354391060860681,0.0223595864696756,0,0.0223595864696756,0,0.111797932348378,0.111797932348378
"Mecom",1.07525942582737,0.98223123051336,1.01077615747873,1.15532493484235,0.901937364644268,1.01268905385898,0.907281975587243,1.01318119001423,0.892982565923269,0.833274096602511,1.03866195771941,0.658850812582185,0.715099444970692,0.91641123879978,0.811752445658431,0.869269621702103,0.789599460110679,0.771972268289279,0.830120778936622,0.869761757857357,0.779437640423102,1.01607835870499,0.689889930488757,0.895491530864072,0.862296385723533,0.628199898425569,0.746769897480937,0.798097388719542,0.825245646171729,0.638465650518445,0.593480060654736,0.823438957976303,0.4005492449078,0.640482479303994,0.843928052445342,0.688760585282011,0.590971095713932,0.458189361231274,0.473350768626298,0.654345751819747,0.407989574201749,0.482266512685428,0.400791395127097,0.564506679489478,0.66742527143614,0.698664198307532,0.668341383517485,0.539413505005122,0.441711115303339,0.703780489603553,0.603344511887089,0.590665718722263,0.740392745501584,0.41007146198038,0.532867026166519,0.601339146177653,0.748499662542904,0.584132677944473,0.662717080706363,0.664942657205942,0.745100936231361,0.672140836280594,0.561107953177935,0.834539282110064,0.623879248308752,0.839912611136703,0.536265752478062,0.53874836670826,0.689384131454248,0.500826646391994,0.583467539647611,0.445510568066448,0.500826646391994,0.628995539604773,0.359470948499288,0.774515013054741,0.642583070736266,0.545946545782912,0.655261863901092,0.478867786373885
"Rnf220",0.754872478666252,0.803150584644268,0.881801207882065,0.880027509950233,0.700016484133215,0.834057647776015,0.850117737250408,0.534583264877007,0.987978819205888,0.633017107170171,0.793772316130195,0.869269621702103,1.08386128684154,0.843928052445342,0.927182145169323,0.765526434509082,0.732082284067007,0.718780164834955,0.780221191596605,0.937683884442323,0.949820123198736,0.857479176978932,0.804287073524607,1.06220043744904,1.07639591470771,0.880062775993352,0.944122574548925,0.792891976224985,1.03084724654704,1.1428322133738,0.950707606777539,0.874718165050377,1.173444262819,0.955913019272096,1.26161235301929,0.981254588528856,1.15900565470661,1.18904500214896,1.00505201909553,1.00702662181063,1.07242421989259,0.998110877751497,1.09778180622224,1.1838214257894,0.985575773307618,1.27623438264842,1.12354011900346,1.27837606296412,1.26073810528504,0.813496534173299,1.168917056125,1.07593023126767,0.929093919284787,0.986649012170725,1.04885507995354,1.23360523578713,0.972496253691226,1.20921541577647,1.21236316830353,1.25079290013489,1.12105013065858,1.08718490083605,1.17023389465791,1.12379715673408,1.23086558382631,1.01345975163956,1.3377486317834,1.06274342658774,1.18068711132315,1.0919004656805,1.1531878446778,1.26164077930557,1.17637964704494,1.35218510834448,1.436724082246,1.18762087855251,1.23117427579458,1.3269081267274,1.17874891226547,0.973813092224138
